airline	from	to	codeshare	stops	equipment
C7	MAO	CIZ		0	EMB
0B	BCM	BGY		0	735
0B	BCM	BLQ		0	733 735 738
0B	BCM	BRU		0	738
0B	BCM	DUB		0	735 738
0B	BCM	FCO		0	735 738
0B	BCM	LPL		0	733 735 738
0B	BCM	LTN		0	738
0B	BCM	TRN		0	733 735 738
0B	CLJ	DUB		0	738
0B	CLJ	TLV		0	738
0B	FCO	AHO		0	734
0B	IAS	BCN		0	735 738
0B	IAS	BRU		0	735 738
0B	IAS	BVA		0	733 735 738
0B	IAS	CGN		0	738
0B	IAS	FCO		0	735
0B	IAS	LTN		0	738
0B	IAS	MUC		0	738
0B	LCA	ATH		0	738
0B	LCA	SKG		0	738
0B	OTP	AGP		0	738
0B	OTP	ARN		0	733 735
0B	OTP	BCM		0	738
0B	OTP	BCN		0	733 734 738
0B	OTP	BHX		0	73G 738
0B	OTP	BRU		0	733 734 735 73G 738
0B	OTP	CDG		0	734 735 738
0B	OTP	CGN		0	734 735 738
0B	OTP	CLJ		0	738
0B	OTP	CPH		0	733 734 735 738
0B	OTP	CTA		0	733 734 735 738
0B	OTP	DUB		0	733 738
0B	OTP	FCO		0	733 734 735 73G 738
0B	OTP	FLR		0	733 735 73G
0B	OTP	GLA		0	733 73G 738
0B	OTP	HAM		0	734 735 73G 738
0B	OTP	HEL		0	734 735 73G 738
0B	OTP	IAS		0	735 738
0B	OTP	LCA		0	734 738
0B	OTP	LIN		0	735
0B	OTP	LIS		0	738
0B	OTP	LPL		0	734 73G 738
0B	OTP	LTN		0	734 73G 738
0B	OTP	LYS		0	734 735 73G 738
0B	OTP	MAD		0	733 738
0B	OTP	NAP		0	734 735 738
0B	OTP	NCE		0	734 73G 738
0B	OTP	OMR		0	735 738
0B	OTP	OSL		0	734 735 738
0B	OTP	STR		0	733 735 738
0B	OTP	TLV		0	733 734 738
0B	OTP	VLC		0	738
0B	SBZ	STR		0	733 734 735 738
0B	TRN	AHO		0	735
0B	TRN	CTA		0	735 738
0B	TRN	NAP		0	735 738
0B	TRN	SUF		0	735 738
0B	TRN	SVQ		0	735 738
1X	BKG	AUS	*	0	J41
1X	BKG	CVG	*	0	M83
1X	BKG	DEN	*	0	CR2
1X	BKG	HOU	*	0	CR2
1X	BKG	MDW	*	0	J41
1X	BKG	MSY	*	0	M83
1X	RFD	NFL	*	0	CR2
2B	TIA	BRI		0	734
2B	TIA	DUS		0	734
2B	TIA	FLR		0	734
2B	TIA	PEG		0	734
2B	TIA	PSA		0	734
2B	TIA	RMI		0	734
2B	TIA	STN		0	734
2B	TIA	VCE		0	734
2G	IKT	BTK		0	A81
2G	IKT	HTA		0	AN4
2G	IKT	KCK		0	AN4
2G	IKT	MJZ		0	A81
2G	IKT	ODO		0	AN4
2G	IKT	OVB		0	A81
2G	IKT	TLK		0	AN4
2G	IKT	UKX		0	AN4
2G	IKT	ULK		0	AN4
2G	IKT	YKS		0	A81
2G	KJA	TLK		0	A81
2G	OVB	TLK		0	A81
2G	OVB	TOF		0	A81
2G	OVB	UFA		0	A81
2G	SGC	TOF		0	A81
2I	LIM	CUZ		0	141
2I	LIM	IQT		0	141
2I	LIM	PCL		0	141
2I	LIM	TPP		0	141
2J	ACC	ABJ		0	E70 E95
2J	BOY	ABJ		0	E70 E95
2J	COO	LFW		0	CR9
2J	OUA	ABJ		0	CR9
2J	OUA	ACC		0	E70 E95
2J	OUA	BKO		0	CR9 E70 E95
2J	OUA	BOY		0	E70 E95
2J	OUA	COO		0	CR9
2J	OUA	DSS		0	E70 E95
2J	OUA	LFW		0	CR9
2J	OUA	NIM		0	E70 E95
2M	BZE	CUK		0	CNC
2M	BZE	CUN		0	CNC
2M	BZE	DGA		0	CNC
2M	BZE	PLJ		0	CNC
2M	BZE	PND		0	CNC
2M	BZE	SPR		0	CNC
2M	BZE	TZA		0	CNC
2M	SPR	CZH		0	CNC
2M	PLJ	DGA		0	CNC
2M	PLJ	PND		0	CNC
2M	TZA	DGA		0	CNC
2M	TZA	SPR		0	CNC
2O	ADQ	AOS		0	BNI
2O	ADQ	KKB		0	BNI
2O	ADQ	KLN		0	BNI
2O	ADQ	KOY		0	BNI
2O	ADQ	KOZ		0	BNI
2O	ADQ	KPY		0	BNI
2O	ADQ	OLH		0	BNI
2O	AOS	KZB		0	BNI
2O	KKB	SYB		0	BNI
2O	KLN	KYK		0	BNI
2O	KMY	ALZ		0	BNI
2O	KOY	KMY		0	BNI
2O	KOZ	ORI		0	BNI
2O	KPY	UGI		0	BNI
2O	SYB	KPR		0	BNI
2O	UGI	KWP		0	BNI
2T	AMD	IDR		0	AT7
2T	AMD	ISK		0	AT7
2T	AMD	IXU		0	AT7
2T	AMD	JSA		0	AT7
2T	AMD	PBD		0	AT7
2T	BLR	VDY		0	AT7
2T	BOM	NDC		0	AT7
2T	CDP	VGA		0	AT7
2T	HYD	CDP		0	AT7
2T	HYD	GOI		0	AT7
2T	HYD	IXU		0	AT7
2T	HYD	MAA		0	AT7
2T	HYD	NDC		0	AT7
2T	HYD	RJA		0	AT7
2T	HYD	TIR		0	AT7
2T	HYD	VDY		0	AT7
2T	HYD	VGA		0	AT7
2T	MAA	CDP		0	AT7
2T	MAA	MYQ		0	AT7
2T	MAA	SXV		0	AT7
2Z	BSB	BRA		0	AT7
2Z	GRU	UDI		0	AT7
2Z	GRU	VDC		0	AT7
2Z	GYN	PMW		0	AT7
2Z	GYN	UDI		0	AT7
2Z	PMW	AUX		0	AT7
2Z	RAO	BSB		0	AT7
2Z	RAO	GRU		0	AT7
2Z	RAO	GYN		0	AT7
2Z	RAO	SDU		0	AT7
2Z	VDC	SSA		0	AT7
2Z	SSA	BRA		0	AT7
2Z	SSA	PNZ		0	AT7
3B	SID	BVC		0	AT7
3B	SID	LPA		0	AT7
3B	SID	RAI		0	AT7
3B	SID	VXE		0	AT7
3B	RAI	BVC		0	AT7
3B	RAI	MMO		0	AT7
3B	RAI	SFL		0	AT7
3B	RAI	SNE		0	AT7
3B	RAI	VXE		0	AT7
3C	AKL	CHT		0	SWM
3C	AKL	PPQ		0	SF3
3C	AKL	WAG		0	SF3
3C	AKL	WHK		0	SWM
3C	CHT	CHC		0	SWM
3C	CHT	WLG		0	SWM
3E	ATL	MKL		0	CNC
3E	MCW	BRL		0	CNC
3E	MCW	FOD		0	CNC
3E	MSP	FOD		0	CNC
3E	MSP	IWD		0	CNC
3E	MSP	MCW		0	CNC
3E	ORD	BRL		0	CNC
3E	ORD	IWD		0	CNC
3E	ORD	MCW		0	CNC
3E	STL	BRL		0	CNC
3E	STL	FOD		0	CNC
3E	STL	JBR		0	CNC
3E	STL	MKL		0	CNC
3F	HYL	CGA		0	DHP
3F	KTN	HYL		0	DHP
3F	KTN	KTB		0	DHP
3F	KTN	MTM		0	DHP
3H	YGW	YGL		0	DHT
3H	YGW	YSK		0	DHT DH3
3H	YGW	YUD		0	DHT DH3
3H	YIK	AKV		0	DHT DH3
3H	YIK	YZG		0	DH3
3H	YKG	YQC		0	DH3
3H	YKL	YQB		0	DH3
3H	YKL	YVP		0	DH3
3H	YKL	YWK		0	BET
3H	YKL	YZV		0	DH1
3H	YPH	YPX		0	DHT DH3
3H	YPH	YUD		0	DHT DH3
3H	YPJ	YKG		0	DHT DH3
3H	YPJ	YTQ		0	DHT
3H	YPX	AKV		0	DHT DH3
3H	YPX	YGL		0	732
3H	YPX	YZG		0	DHT
3H	YUD	YSK		0	DHT DH3
3H	YUL	YGL		0	732
3H	YUL	YGW		0	DHT DH3 
3H	YUL	YQB		0	DH3
3H	YVP	XGR		0	BET DHT
3H	YVP	YKG		0	DHT DH1
3H	YVP	YKL		0	BET DH3
3H	YVP	YPH		0	DH1 DH3
3H	YVP	YPJ		0	DHT
3H	YVP	YPX		0	DHT
3H	YVP	YTQ		0	DHT DH3
3H	YWB	YQC		0	DH3
3H	YWB	YZG		0	DHT DH3
3J	HGA	BSA		0	F50
3J	HGA	GGR		0	F50
3J	HGA	JIB		0	F50
3J	MGQ	GGR		0	F50
3J	MGQ	GLK		0	F50
3J	MGQ	KMU		0	F50
3K	CRK	KIX		0	320
3K	MNL	KIX		0	320
3K	SIN	BKK		0	320
3K	SIN	CGK		0	320
3K	SIN	CRK		0	320
3K	SIN	DAD		0	320
3K	SIN	DPS		0	320
3K	SIN	DRW		0	320
3K	SIN	HAK		0	320
3K	SIN	HKG		0	320
3K	SIN	HKT		0	320
3K	SIN	KNO		0	320
3K	SIN	KUL		0	320
3K	SIN	KWE		0	320
3K	SIN	MNL		0	320
3K	SIN	OKA		0	320
3K	SIN	PEN		0	320
3K	SIN	PNH		0	320
3K	SIN	REP		0	320
3K	SIN	RGN		0	320
3K	SIN	SGN		0	320
3K	SIN	SUB		0	320
3K	SIN	SWA		0	320
3K	SIN	SYX		0	320
3K	SIN	TPE		0	320
3K	SIN	XUZ		0	320
3K	TPE	KIX		0	320
3M	EYW	RSW		0	SF3
3M	FLL	BIM		0	SF3
3M	FLL	DAB		0	SF3
3M	FLL	ELH		0	SF3
3M	FLL	EYW		0	SF3
3M	FLL	FPO		0	SF3
3M	FLL	MCO		0	SF3
3M	FLL	MHH		0	SF3
3M	FLL	TCB		0	SF3
3M	FLL	TLH		0	SF3
3M	JAX	MHH		0	SF3
3M	MCO	EYW		0	SF3
3M	MCO	HSV		0	SF3
3M	MCO	PNS		0	SF3
3M	MCO	RSW		0	SF3
3M	MCO	TLH		0	SF3
3M	PBI	MHH		0	SF3
3M	PBI	NAS		0	SF3
3M	TPA	JAX		0	SF3
3M	TPA	EYW		0	SF3
3M	TPA	FLL		0	SF3
3M	TPA	MHH		0	SF3
3M	TPA	NAS		0	SF3
3M	TPA	PBI		0	SF3
3M	TPA	PNS		0	SF3
3M	TPA	TLH		0	SF3
3O	AGA	ARN		0	320
3O	AGA	BHX		0	320
3O	AGA	BSL		0	320
3O	AGA	CGN		0	320
3O	AGA	CPH		0	320
3O	AGA	DUB		0	320
3O	AGA	FEZ		0	320
3O	AGA	MAN		0	320
3O	AGA	MUC		0	320
3O	AGA	RBA		0	320
3O	AGA	TNG		0	320
3O	CMN	BCN		0	320
3O	CMN	BGY		0	320
3O	CMN	BLQ		0	320
3O	CMN	BSL		0	320
3O	CMN	BGY		0	320
3O	CMN	BRU		0	320
3O	CMN	CTA		0	320
3O	CMN	CUF		0	320
3O	CMN	LYS		0	320
3O	CMN	MPL		0	320
3O	CMN	NAP		0	320
3O	CMN	NDR		0	320
3O	CMN	RBA		0	320
3O	CMN	SAW		0	320
3O	CMN	TLS		0	320
3O	CMN	VCE		0	320
3O	CMN	VIL		0	320
3O	FEZ	AMS		0	320
3O	FEZ	BCN		0	320
3O	FEZ	BOD		0	320
3O	FEZ	BRU		0	320
3O	FEZ	CDG		0	320
3O	FEZ	ERH		0	320
3O	FEZ	FCO		0	320
3O	FEZ	LGW		0	320
3O	FEZ	LYS		0	320
3O	FEZ	MPL		0	320
3O	FEZ	SXB		0	320
3O	FEZ	TLS		0	320
3O	FEZ	TNG		0	320
3O	NDR	AMS		0	320
3O	NDR	BCN		0	320
3O	NDR	BRU		0	320
3O	NDR	CGN		0	320
3O	NDR	MPL		0	320
3O	NDR	PMI		0	320
3O	NDR	TNG		0	320
3O	RAK	CDG		0	320
3O	RAK	FEZ		0	320
3O	RAK	FRA		0	320
3O	RAK	LGW		0	320
3O	RAK	MPL		0	320
3O	RAK	OZG		0	320
3O	RAK	PUF		0	320
3O	RAK	TNG		0	320
3O	RAK	VIE		0	320
3O	RAK	VIL		0	320
3O	TNG	AGP		0	320
3O	TNG	AMS		0	320
3O	TNG	BCN		0	320
3O	TNG	BRU		0	320
3O	TNG	CDG		0	320
3O	TNG	LGW		0	320
3O	TNG	MAD		0	320
3P	AUA	BON		0	SH6
3P	AUA	CUR		0	SH6
3P	AUA	LSP		0	SH6
3P	AUA	PTY		0	733
3P	AUA	RCH		0	SH6
3P	BON	AUA		0	SH6
3P	BON	CUR		0	SH6
3R	DME	ASF		0	SU9
3R	DME	BHK		0	73G
3R	DME	FEG		0	73G
3R	DME	KSQ		0	73G
3R	DME	NMA		0	73G
3R	DME	NVI		0	73G
3R	DME	SKD		0	73G
3R	DME	STW		0	SU9
3R	DME	TIV		0	SU9
3R	LED	ASF		0	SU9
3S	FDF	BGI		0	AT5
3S	FDF	SLU		0	AT5
3S	PTP	DOM		0	AT5
3S	PTP	FDF		0	AT5
3S	PTP	PUJ		0	AT5
3S	PTP	SBH		0	DHT
3S	PTP	SDQ		0	AT5
3S	PTP	SFG		0	AT5
3S	PTP	SXM		0	AT5
3S	SXM	DOM		0	AT5
3S	SXM	SJU		0	AT5
3T	JUB	EBB		0	733
3T	KRT	AMM		0	733
3T	KRT	ASM		0	733
3T	KRT	CAI		0	733
3T	KRT	DMM		0	733
3T	KRT	EGN		0	733
3T	KRT	ELF		0	733
3T	KRT	JED		0	733
3T	KRT	JUB		0	733
3T	KRT	KAN		0	733
3T	KRT	KWI		0	733
3T	KRT	NDJ		0	733
3T	KRT	PZU		0	733
3T	KRT	RUH		0	733
3T	KRT	UYL		0	733
3U	BKK	WUS		0	320
3U	CAN	KBV		0	320
3U	CAN	SPN		0	333
3U	CGO	CGQ		0	320 321
3U	CGO	CKG		0	320 321
3U	CGO	CTU		0	320 321
3U	CGO	HGH		0	320
3U	CGO	HRB		0	320 321
3U	CGO	KMG		0	320
3U	CGO	MIG		0	321
3U	CGO	NNG		0	320
3U	CGO	SYX		0	320
3U	CGO	URC		0	320
3U	CGO	YNJ		0	320
3U	CGQ	TNA		0	321
3U	CGQ	TSN		0	320
3U	CKG	CAN		0	321
3U	CKG	CEB		0	321
3U	CKG	CGO		0	320 321
3U	CKG	CSX		0	320
3U	CKG	CXR		0	321
3U	CKG	CZX		0	321
3U	CKG	DAD		0	321
3U	CKG	DCY		0	319
3U	CKG	DLC		0	320
3U	CKG	HAK		0	320
3U	CKG	HGH		0	319 320
3U	CKG	INC		0	321
3U	CKG	JHG		0	320
3U	CKG	KHN		0	320 321
3U	CKG	KMG		0	320
3U	CKG	KOS		0	320
3U	CKG	LHW		0	320
3U	CKG	LJG		0	320
3U	CKG	LXA		0	319
3U	CKG	LZY		0	319
3U	CKG	NGB		0	321
3U	CKG	NKG		0	319 320
3U	CKG	NNG		0	320
3U	CKG	PEK		0	319 320 321 332
3U	CKG	PVG		0	319 320 321 332
3U	CKG	PZI		0	319
3U	CKG	SWA		0	319 320
3U	CKG	SYD		0	332
3U	CKG	SYX		0	320
3U	CKG	SZX		0	320
3U	CKG	TAO		0	319 320 321
3U	CKG	TNA		0	321
3U	CKG	TSA		0	320
3U	CKG	TSN		0	321
3U	CKG	TYN		0	321
3U	CKG	URC		0	320
3U	CKG	WUH		0	319 321
3U	CKG	WUX		0	320 321
3U	CKG	XIY		0	319 320
3U	CKG	XNN		0	320
3U	CKG	YNT		0	320
3U	CKG	ZHY		0	319
3U	CSX	CTU		0	320 321
3U	CSX	FOC		0	320 321
3U	CSX	HRB		0	321
3U	CSX	KMG		0	320 321
3U	CSX	SHE		0	320
3U	CSX	SYX		0	320
3U	CSX	WNZ		0	320
3U	CSX	XMN		0	320
3U	CPH	HEL		0	333
3U	CTU	AKL		0	332
3U	CTU	AOG		0	319 320
3U	CTU	BHY		0	321
3U	CTU	BKK		0	320
3U	CTU	CAI		0	333
3U	CTU	CAN		0	319 320 321 332 333
3U	CTU	CEI		0	321
3U	CTU	CNX		0	321
3U	CTU	CXR		0	321
3U	CTU	DAX		0	319
3U	CTU	DCY		0	319
3U	CTU	DSN		0	319 320 321
3U	CTU	DXB		0	333
3U	CTU	FCO		0	332
3U	CTU	FUG		0	320
3U	CTU	GXH		0	319
3U	CTU	HAK		0	321
3U	CTU	HDG		0	320
3U	CTU	HEL		0	333
3U	CTU	HET		0	319 320 321
3U	CTU	HFE		0	321
3U	CTU	HGH		0	320 321 332
3U	CTU	HKG		0	321
3U	CTU	HKT		0	321
3U	CTU	HRB		0	320
3U	CTU	ICN		0	321
3U	CTU	INC		0	320 321 332 333
3U	CTU	IST		0	333
3U	CTU	JHG		0	319 320
3U	CTU	KBV		0	321
3U	CTU	KGT		0	319
3U	CTU	KHN		0	321
3U	CTU	KIX		0	320
3U	CTU	KMG		0	320
3U	CTU	KOW		0	319
3U	CTU	KWE		0	319 320
3U	CTU	KWL		0	319 320
3U	CTU	LED		0	333
3U	CTU	LHW		0	320 321
3U	CTU	LJG		0	319 320
3U	CTU	LLV		0	319 320
3U	CTU	LUM		0	319 320
3U	CTU	LXA		0	319 332
3U	CTU	LZY		0	319
3U	CTU	MEL		0	332
3U	CTU	NKG		0	319 320 321
3U	CTU	NNG		0	321
3U	CTU	NRT		0	332 333
3U	CTU	PEK		0	320 321 332 333 359
3U	CTU	PRG		0	333
3U	CTU	PVG		0	321 332 333
3U	CTU	PZI		0	319
3U	CTU	SHE		0	332
3U	CTU	SIN		0	320
3U	CTU	SJW		0	319 320 321
3U	CTU	SVO		0	333
3U	CTU	SYM		0	319
3U	CTU	SYX		0	321
3U	CTU	SZX		0	320 321 332
3U	CTU	TAO		0	321
3U	CTU	TLV		0	333
3U	CTU	TNA		0	320 321 332
3U	CTU	TSA		0	321
3U	CTU	TSN		0	319 320 321
3U	CTU	TYN		0	320 321
3U	CTU	URC		0	319 320 321 332
3U	CTU	WNH		0	319
3U	CTU	WNZ		0	319 321
3U	CTU	WUH		0	320
3U	CTU	WUX		0	321
3U	CTU	XIC		0	320
3U	CTU	XIY		0	319 320
3U	CTU	XMN		0	321
3U	CTU	XNN		0	320
3U	CTU	XUZ		0	320 321
3U	CTU	YIC		0	319
3U	CTU	YIH		0	319
3U	CTU	YTY		0	319 321
3U	CTU	ZUH		0	320 321
3U	CZX	FOC		0	321
3U	CZX	HRB		0	321
3U	CZX	KMG		0	320
3U	CZX	SYX		0	321
3U	CZX	TAO		0	320
3U	CZX	YIH		0	319
3U	CZX	ZUH		0	320
3U	DAX	JJN		0	319
3U	DLC	LLV		0	319 320
3U	DLC	TNA		0	321
3U	DLC	XUZ		0	320 321
3U	HAK	NGB		0	321
3U	HAK	TSN		0	321
3U	HAK	TYN		0	321
3U	HET	HLD		0	320 321
3U	HGH	CAN		0	320
3U	HGH	FUG		0	320
3U	HGH	HDG		0	320
3U	HGH	KMG		0	320
3U	HGH	LAX		0	332
3U	HGH	MIG		0	319
3U	HGH	NNG		0	320
3U	HGH	RGN		0	320
3U	HGH	TSN		0	320
3U	HGH	TYN		0	320
3U	HGH	WUS		0	320
3U	HGH	ZAT		0	319
3U	HGH	ZUH		0	320
3U	HRB	CAN		0	320
3U	HRB	HGH		0	320
3U	HRB	HFE		0	321
3U	HRB	HLD		0	321
3U	HRB	INC		0	320 321
3U	HRB	NGB		0	321
3U	HRB	NKG		0	320 321
3U	HRB	NZH		0	321
3U	HRB	PVG		0	321
3U	HRB	TNA		0	320 321
3U	HRB	TSN		0	321
3U	HRB	TYN		0	320 321
3U	HRB	WNZ		0	321
3U	HRB	WUH		0	321
3U	HRB	XIY		0	321
3U	HRB	XUZ		0	320
3U	HRB	YNT		0	320
3U	INC	DXB		0	332 333
3U	INC	KWL		0	321
3U	INC	LJG		0	320
3U	INC	GXH		0	319
3U	JHG	DIG		0	319
3U	KHN	BHY		0	320
3U	KHN	DSN		0	320
3U	KHN	HRB		0	321
3U	KHN	HSN		0	319 320
3U	KHN	LJG		0	320
3U	KHN	KWL		0	321
3U	KHN	SWA		0	321
3U	KHN	WNZ		0	320
3U	KHN	XIC		0	320
3U	KMG	CAN		0	320
3U	KMG	HFE		0	320
3U	KMG	JHG		0	320
3U	KMG	KHN		0	320
3U	KMG	LJG		0	319
3U	KMG	MDL		0	320
3U	KMG	NGB		0	320
3U	KMG	NKG		0	320
3U	KMG	NNG		0	320
3U	KMG	PEK		0	320
3U	KMG	PVG		0	320
3U	KMG	TNA		0	320
3U	KMG	TPE		0	320
3U	KMG	TSN		0	319
3U	KMG	TYN		0	320
3U	KMG	VTE		0	320
3U	KMG	WUX		0	320
3U	KMG	WXN		0	320
3U	KMG	XIY		0	320
3U	KMG	XMN		0	320
3U	KMG	XNN		0	320
3U	KMG	XUZ		0	320
3U	KWE	HGH		0	320
3U	KWE	HFE		0	321
3U	KWE	JJN		0	319 320
3U	KWE	LHW		0	321
3U	KWE	LJG		0	320
3U	KWE	SYX		0	321
3U	KWE	WNZ		0	320
3U	KWE	XIC		0	320
3U	KWE	XUZ		0	320
3U	KWL	LCX		0	320
3U	LHW	DNH		0	320 321
3U	LHW	JGN		0	320
3U	LHW	TSN		0	321
3U	LHW	URC		0	320
3U	LJG	HGH		0	319
3U	LJG	ICN		0	320
3U	LJG	LXA		0	319
3U	LJG	MIG		0	319 320
3U	LJG	YBP		0	319
3U	LJG	ZAT		0	319
3U	LXA	GXH		0	319
3U	LXA	KTM		0	319
3U	LXA	MIG		0	319
3U	NGB	KHN		0	321
3U	NGB	SHE		0	320
3U	NGB	SYX		0	320
3U	NKG	DYG		0	321
3U	NKG	MIG		0	319 320
3U	NKG	SYX		0	321
3U	NNG	FOC		0	320
3U	NNG	HGH		0	320
3U	NNG	TSN		0	321
3U	NNG	SGN		0	320
3U	NNG	SIN		0	320
3U	NNG	WUH		0	321
3U	NNG	XIC		0	320
3U	PEK	WXN		0	320
3U	PEK	ZHY		0	319 320
3U	PRG	ZRH		0	333
3U	PVG	SPN		0	333
3U	SHE	DSN		0	319 320 321
3U	SHE	SJW		0	319 320 321
3U	SHE	TYN		0	321
3U	SHE	XUZ		0	320
3U	SHE	YVR		0	332
3U	SYX	KWL		0	321
3U	SYX	MIG		0	320
3U	SYX	PVG		0	321
3U	SYX	TNA		0	321
3U	SYX	WNZ		0	321
3U	SYX	YBP		0	319
3U	TNA	LAX		0	332
3U	TNA	SWA		0	320 321
3U	TSN	HLD		0	321
3U	TSN	KHN		0	320
3U	TSN	NGB		0	321
3U	TSN	SWA		0	321
3U	TYN	DAT		0	320 321
3U	TYN	KWL		0	321
3U	TYN	RIZ		0	320
3U	URC	KHG		0	320 321
3U	URC	ZHY		0	320
3U	WUH	HPG		0	319
3U	WUH	JJN		0	321
3U	WUH	NTG		0	320
3U	XIC	LZY		0	319
3U	XIC	MIG		0	319
3U	XIY	AAT		0	319 320
3U	XIY	BHY		0	321
3U	XIY	CNX		0	319
3U	XIY	DCY		0	319
3U	XIY	DIG		0	319
3U	XIY	DOY		0	319
3U	XIY	GXH		0	319
3U	XIY	KWL		0	319
3U	XIY	LUM		0	319
3U	XIY	LXA		0	319
3U	XIY	LZY		0	319
3U	XIY	PVG		0	320
3U	XIY	RGN		0	320
3U	XIY	SWA		0	319 320
3U	XIY	SZX		0	320
3U	XIY	TAO		0	319 320
3U	XIY	TNA		0	320
3U	XIY	URC		0	319
3U	XIY	UYN		0	319
3U	XIY	XIC		0	319
3U	XIY	XNN		0	319
3U	XIY	YBP		0	319
3U	XMN	KOW		0	320
3U	XMN	YIC		0	319
3U	XNN	BHY		0	320
3U	XNN	DNH		0	320
3U	XNN	LXA		0	319
3U	XNN	MIG		0	320
3U	XNN	TLQ		0	320
3U	XNN	URC		0	319
3W	BLZ	DAR		0	DH4
3W	BLZ	JNB		0	73G
3W	LLW	BLZ		0	DH4 73G
3W	LLW	HRE		0	DH4
3W	LLW	LUN		0	DH4
3W	LLW	NBO		0	73G
3W	LUN	HRE		0	DH4
4B	ABQ	CNM		0	PL2
4B	ABQ	SVC		0	PL2
4B	AIA	CDR		0	PL2
4B	BOS	MSS		0	PL2
4B	DEN	AIA		0	PL2
4B	DEN	ALS		0	PL2
4B	DEN	CDR		0	PL2
4B	DEN	CEZ		0	PL2
4B	DEN	DDC		0	PL2
4B	DEN	MCK		0	PL2
4B	DEN	TEX		0	PL2
4B	DEN	VCT		0	PL2
4B	DFW	CNM		0	PL2
4B	DFW	CVN		0	PL2
4B	GLH	BNA		0	PL2
4B	GLH	DFW		0	PL2
4B	IAH	VCT		0	PL2
4B	JST	BWI		0	PL2
4B	JST	PIT		0	PL2
4B	LAX	MCE		0	PL2
4B	MSL	ATL		0	PL2
4B	MSL	BNA		0	PL2
4B	MSP	TVF		0	PL2
4B	OAK	MCE		0	PL2
4B	PDX	PDT		0	PL2
4B	PHX	CEZ		0	PL2
4B	PHX	SOW		0	PL2
4B	PHX	SVC		0	PL2
4D	TLV	CAI		0	E70
4E	MCG	NIB		0	PAG
4E	MCG	TCT		0	PAG
4E	TCT	TLJ		0	PAG
4G	VKO	NUX		0	SU9
4G	VKO	NYM		0	SU9
4G	VKO	SVX		0	SU9
4G	VKO	TJM		0	SU9
4N	YDA	YEV		0	AT4
4N	YDA	YOC		0	AT4
4N	YEG	YYC		0	735
4N	YLW	YVR		0	735
4N	YXY	YDA		0	AT4
4N	YXY	YEG		0	735
4N	YXY	YLW		0	735
4N	YXY	YZF		0	735
4N	YXY	YVR		0	735
4N	YXY	YYC		0	735
4N	YXY	YYJ		0	735
4O	CUN	BJX		0	320
4O	CUN	BOG		0	321
4O	CUN	GDL		0	320
4O	CUN	GYE		0	320
4O	CUN	HAV		0	320
4O	CUN	JFK		0	320
4O	CUN	LAX		0	320
4O	CUN	MTY		0	320
4O	CUN	SFO		0	320
4O	CUN	TLC		0	SU9 320
4O	CUN	YUL		0	320
4O	CUN	YYZ		0	320
4O	GDL	LAS		0	320
4O	GDL	LAX		0	320
4O	GDL	ORD		0	320
4O	GDL	SAT		0	320
4O	GDL	SFO		0	320
4O	GDL	SJD		0	SU9
4O	GDL	TIJ		0	320
4O	GDL	TLC		0	SU9
4O	MEX	ACA		0	320
4O	MEX	AGU		0	SU9
4O	MEX	BJX		0	SU9 320
4O	MEX	BOG		0	320
4O	MEX	CEN		0	SU9
4O	MEX	CJS		0	320 321
4O	MEX	CME		0	320
4O	MEX	CPE		0	SU9
4O	MEX	CTM		0	320 321
4O	MEX	CUL		0	320 321
4O	MEX	CUN		0	320 321
4O	MEX	CUU		0	320 321
4O	MEX	CZM		0	321
4O	MEX	DFW		0	320
4O	MEX	GDL		0	320 321
4O	MEX	GUA		0	320
4O	MEX	GYE		0	320
4O	MEX	HAV		0	320
4O	MEX	HMO		0	320
4O	MEX	HUX		0	320 321
4O	MEX	IAH		0	320
4O	MEX	JFK		0	320
4O	MEX	LIM		0	320
4O	MEX	LAS		0	320
4O	MEX	LAX		0	320
4O	MEX	MCO		0	320
4O	MEX	MIA		0	320
4O	MEX	MID		0	320 321
4O	MEX	MTY		0	SU9 320 321
4O	MEX	MZT		0	SU9
4O	MEX	OAX		0	320
4O	MEX	ORD		0	320
4O	MEX	PQM		0	SU9
4O	MEX	PVR		0	320 321
4O	MEX	PXM		0	320
4O	MEX	SAL		0	320
4O	MEX	SAT		0	320
4O	MEX	SJD		0	321
4O	MEX	SJO		0	320
4O	MEX	TAM		0	SU9 320
4O	MEX	TGZ		0	320
4O	MEX	TIJ		0	320 321
4O	MEX	TRC		0	SU9 320
4O	MEX	VER		0	320
4O	MEX	VRA		0	SU9
4O	MEX	VSA		0	320
4O	MEX	YUL		0	320
4O	MEX	YVR		0	320
4O	MEX	YYZ		0	320
4O	MEX	ZIH		0	320
4O	MID	HAV		0	320
4O	MTY	BJX		0	SU9
4O	MTY	GDL		0	SU9
4O	MTY	HAV		0	SU9
4O	MTY	IAH		0	SU9
4O	MTY	LAS		0	320
4O	MTY	SAT		0	SU9
4O	MTY	TLC		0	SU9
4O	TIJ	BJX		0	320
4O	TIJ	CUL		0	320
4O	TLC	ACA		0	SU9
4O	TLC	PVR		0	SU9 320
4O	TLC	SJD		0	SU9
4W	BTT	AKP		0	PA2
4W	BTT	CXF		0	PA2
4W	CEM	IRC		0	PA2
4W	CIK	FYU		0	PA2
4W	CXF	AKP		0	PA2
4W	FAI	BTT		0	PA2
